species_no,species_name,taxo_group,m_BS,m_SE,f_BS,f_SE,error type,measure,measurement,SSD_index,logF-logM,data_available,mating_system,parental_care
226,Theropithecus gelada,mammal,26100,NA,13950,NA,NA,mass,body mass (g),0.871,-0.272,2,multiple mating,cooperative
227,Tribolium castaneum,invertebrate,0.0009,0.00012,0.00097,0.00014,SD,mass,body mass (g),-0.072,0.033,2,multiple mating,none
228,Tribolium confusum,invertebrate,0.00269,0.00036,0.00322,0.00033,SE,mass,body mass (g),-0.165,0.078,2,multiple mating,none
229,Turdoides bicolor,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,cooperative
230,Turdus merula,bird,127.22,3.09,123.8,2.99,SD,partial.length,wing length (mm),0.028,-0.012,2,monogamy,biparental
231,Tursiops aduncus,mammal,2295,150,2286,87.5,SD,length,body length (mm),0.004,-0.002,2,multiple mating,maternal
232,Tursiops truncatus,mammal,2656,85,2497,69,SD,length,body length (mm),0.064,-0.027,2,multiple mating,maternal
233,Upupa epops,bird,74,NA,66,NA,NA,mass,body mass (g),0.121,-0.05,2,monogamy,biparental
234,Vanellus miles,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
235,Vanellus vanellus,bird,211,17.9,226,21.8,SD,mass,body mass (g),-0.066,0.03,2,monogamy,biparental
236,Xiphophorus birchmanni,fish,37.29,2.91,34.08,2.89,SD,length,standard length (mm),0.094,-0.039,2,multiple mating,maternal
237,Zygiella x-notata,invertebrate,0.026,0.006,0.038,0.012,SD,mass,body mass (g),-0.316,0.165,2,multiple mating,maternal
